No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
145,bmg2024aoel,2024-01-08T18:08:20.419742Z,-0.1194862649,123.1310196,3.624314687,MLv,104,62,43.48241043,"Minahassa Peninsula, Sulawesi",BMKG
146,bmg2024anqk,2024-01-08T11:03:09.899511Z,0.3371290565,122.2473755,2.390705693,MLv,149,15,104.3010406,"Minahassa Peninsula, Sulawesi",BMKG
147,bmg2024ange,2024-01-08T05:53:10.769843Z,-3.846806765,120.0707016,2.463939176,MLv,11,20,113.8375435,"Sulawesi, Indonesia",BMKG
148,bmg2024andg,2024-01-08T04:25:07.97498Z,-1.140621424,120.4693451,2.871797166,MLv,10,18,82.93378448,"Sulawesi, Indonesia",BMKG
149,bmg2024anci,2024-01-08T03:56:07.322571Z,1.332458854,122.0416794,3.945971793,MLv,10,43,116.2064209,"Minahassa Peninsula, Sulawesi",BMKG
150,bmg2024amqi,2024-01-07T21:52:25.869585Z,0.2848973572,121.9076385,3.815928466,MLv,178,71,38.3158493,"Minahassa Peninsula, Sulawesi",BMKG
151,bmg2024amhh,2024-01-07T17:18:30.0842Z,-1.878015518,122.5007172,3.91298067,MLv,10,73,68.58303833,"Sulawesi, Indonesia",BMKG
152,bmg2024amgy,2024-01-07T17:07:52.834678Z,-2.309254885,119.1688156,3.624897401,MLv,10,69,154.4901876,"Sulawesi, Indonesia",BMKG
153,bmg2024amcv,2024-01-07T15:03:32.839365Z,-0.01152785774,123.7580566,3.421867108,MLv,119,36,83.15336227,"Minahassa Peninsula, Sulawesi",BMKG
154,bmg2024amcj,2024-01-07T14:49:51.888541Z,-0.7456160784,123.1579971,2.450168502,MLv,34,11,92.56533813,"Minahassa Peninsula, Sulawesi",BMKG
155,bmg2024alur,2024-01-07T10:55:55.328863Z,-1.831885934,122.4806213,2.992309523,MLv,10,34,116.5500412,"Sulawesi, Indonesia",BMKG
156,bmg2024aluc,2024-01-07T10:38:23.290804Z,-1.854148626,122.5032272,4.916092138,Mw(mB),12,202,26.94448853,"Sulawesi, Indonesia",BMKG
157,bmg2024alsi,2024-01-07T09:45:28.827319Z,0.2946721017,122.0999374,3.179562848,M,148,48,58.79502296,"Minahassa Peninsula, Sulawesi",BMKG
158,bmg2024alky,2024-01-07T06:01:10.604141Z,-2.572509289,121.4144669,2.479065457,MLv,10,18,125.2141247,"Sulawesi, Indonesia",BMKG
